op,target,rounds,iterations,mean_s,min_s,max_s,median_s,stddev_s
parse,dwyl_english,5,1,0.249678340,0.233488100,0.254045300,0.253627200,0.008096855
query,cat,50,1,0.000000180,0.000000100,0.000000500,0.000000200,0.000000075
query,stop,50,1,0.000000474,0.000000300,0.000001600,0.000000400,0.000000185
query,apple,50,1,0.000000554,0.000000500,0.000001400,0.000000500,0.000000131
query,listen,50,1,0.000001214,0.000001100,0.000003000,0.000001200,0.000000268
query,roaster,50,1,0.000001812,0.000001600,0.000003000,0.000001700,0.000000250
query,creative,20,1,0.000002520,0.000002200,0.000005700,0.000002300,0.000000742
query,algorithms,20,1,0.000016565,0.000010000,0.000082200,0.000011200,0.000015698
query,relationship,10,1,0.000084240,0.000066300,0.000156200,0.000071800,0.000026876
query,conversational,10,1,0.000206160,0.000150400,0.000299600,0.000211100,0.000048755
query,characteristically,10,1,0.000143120,0.000101000,0.000404000,0.000114600,0.000087874
